Date,xi,sigma,dxi_dt,dsigma_dt,d2xi_dt2,d2sigma_dt2,RVI
2019-01-03,-0.19297647384684471,0.006579834145477636,-2.7755575615628914e-17,8.673617379884035e-19,1.3877787807814457e-17,-4.336808689942018e-19,1.7000290064572708e-17
2019-01-04,-0.19297647384684471,0.006579834145477636,-1.3877787807814457e-17,4.336808689942018e-19,6.938893903907228e-18,-2.168404344971009e-19,8.500145032286354e-18
2019-01-07,-0.19297647384684471,0.006579834145477636,-1.3877787807814457e-17,4.336808689942018e-19,0.0,0.0,8.500145032286354e-18
2019-01-08,-0.19297647384684471,0.006579834145477636,-1.3877787807814457e-17,4.336808689942018e-19,6.938893903907228e-18,-2.168404344971009e-19,8.500145032286354e-18
2019-01-09,-0.19297647384684471,0.006579834145477636,0.0,0.0,6.938893903907228e-18,-2.168404344971009e-19,0.0
2019-01-10,-0.19297647384684471,0.006579834145477636,0.0,0.0,0.0,-2.168404344971009e-19,0.0
2019-01-11,-0.19297647384684471,0.006579834145477636,0.0,-4.336808689942018e-19,0.0,-2.168404344971009e-19,1.7347234759768072e-19
2019-01-14,-0.19297647384684471,0.006579834145477636,0.0,-4.336808689942018e-19,6.938893903907228e-18,2.168404344971009e-19,1.7347234759768072e-19
2019-01-15,-0.19297647384684471,0.006579834145477636,1.3877787807814457e-17,0.0,7.7021722333370235e-16,-2.5804011705155006e-17,8.326672684688674e-18
2019-01-16,-0.19297647384684471,0.006579834145477636,1.5404344466674047e-15,-5.204170427930421e-17,7.563394355258879e-16,-2.6020852139652106e-17,9.450773497121644e-16
2019-01-17,-0.19297647384684471,0.006579834145477636,1.5265566588595902e-15,-5.204170427930421e-17,-0.0007074313589714512,4.616065872535763e-06,9.367506770274758e-16
2019-01-18,-0.19297647384684471,0.006579834145477636,-0.001414862717941362,9.232131745019485e-06,1.8722234335688537e-05,5.481374405524701e-06,0.000852610483462825
