Ticker,first_warning,first_crash,lead_time_days
BEP,2010-03-05,2010-04-06,32
BP,2010-11-02,2010-12-02,30
COP,2010-03-05,2010-04-06,32
CVX,2010-03-05,2010-04-06,32
EOG,2010-03-05,2010-04-06,32
FSLR,2010-01-04,2010-02-03,30
ICLN,2010-01-04,2010-02-03,30
NEE,2010-03-05,2010-04-06,32
PLUG,2010-01-04,2010-03-05,60
QCLN,2010-01-04,2010-07-06,183
SHEL,2010-06-04,2010-12-02,181
SLB,2010-02-03,2010-06-04,121
SPY,2010-03-05,2010-11-02,242
TAN,2010-02-03,2010-03-05,30
TTE,2010-07-06,2010-09-02,58
XOM,2010-03-05,2010-04-06,32
ENPH,2012-11-02,2013-01-04,63
