Date,BEP,BP,COP,CVX,EOG,FSLR,ICLN,NEE,PLUG,QCLN,SHEL,SLB,SPY,TAN,TTE,XOM,ENPH
2010-01-04,2,2,0,0,2,1,1,2,1,1,2,2,2,0,2,2,
2010-02-03,2,2,0,2,2,2,2,2,1,1,2,1,2,1,2,2,
2010-03-05,1,0,1,1,1,2,1,1,2,1,0,1,1,2,0,1,
2010-04-06,2,2,2,2,2,2,2,2,1,0,0,0,0,0,2,2,
2010-05-05,2,2,1,1,1,1,0,1,1,0,0,1,1,1,0,1,
2010-06-04,1,2,1,1,1,1,1,1,1,0,1,2,0,1,2,1,
2010-07-06,1,2,1,1,1,2,1,1,2,2,1,1,1,0,1,1,
2010-08-04,1,2,1,0,1,2,0,0,2,0,1,1,0,0,1,1,
2010-09-02,1,2,2,2,1,1,1,1,1,0,1,1,1,1,2,2,
2010-10-04,0,2,0,0,0,2,1,0,2,1,0,0,0,1,1,0,
2010-11-02,1,1,1,1,2,0,2,1,1,1,1,1,2,2,2,1,
2010-12-02,2,2,1,2,2,0,2,1,2,2,2,2,2,0,2,2,
2011-01-03,2,2,2,2,2,0,2,2,2,0,2,2,2,1,2,2,
2011-02-02,0,2,1,1,2,0,2,1,0,0,1,1,1,1,1,1,
2011-03-04,1,1,2,2,1,0,2,2,1,1,1,2,2,1,1,2,
2011-04-04,0,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,
2011-05-04,1,1,1,1,1,0,1,1,0,0,1,2,1,1,1,1,
2011-06-03,1,2,1,1,1,1,1,1,0,1,0,2,0,1,0,1,
2011-07-05,1,2,1,1,1,2,2,1,0,2,1,2,1,1,1,1,
2011-08-03,2,0,0,0,2,2,0,2,1,2,0,0,0,0,0,2,
2011-09-01,1,2,1,1,2,1,2,2,0,1,1,2,2,1,1,1,
2011-10-03,2,2,2,2,1,0,2,2,0,2,2,1,2,1,2,2,
2011-11-01,1,1,1,1,1,2,1,1,0,1,1,1,1,0,1,1,
2011-12-01,1,1,1,1,1,2,1,1,0,1,1,1,1,0,2,1,
2012-01-03,1,1,1,1,1,2,1,0,1,2,1,1,1,1,1,1,
2012-02-02,2,2,2,2,2,2,2,2,0,1,2,2,2,0,2,1,
2012-03-05,2,2,2,2,2,2,2,2,0,2,2,2,1,0,1,2,
2012-04-03,1,1,2,2,1,2,1,1,1,1,2,1,1,0,1,1,
2012-05-03,1,1,2,1,1,1,1,1,1,1,2,1,1,0,2,1,
2012-06-04,2,2,2,2,2,2,2,2,0,1,2,0,2,0,2,1,
2012-07-03,1,1,1,1,0,1,1,1,0,1,2,1,1,0,1,1,
2012-08-02,2,1,1,1,0,2,1,2,0,1,1,1,2,0,2,2,
2012-08-31,1,1,1,1,1,1,1,1,0,1,1,1,1,0,2,1,
2012-10-02,2,2,2,2,2,2,2,2,1,1,2,0,2,1,2,2,
2012-11-02,2,2,2,1,2,2,2,2,1,0,2,2,2,1,2,2,1.0
2012-12-04,0,1,1,1,1,1,0,1,1,0,2,1,0,1,0,1,1.0
